2026-04-09 12:58:05,659 | INFO | orchestrator | Iniciando orquestador de scrapers
2026-04-09 12:58:05,659 | INFO | orchestrator |   Config:   config/addresses.json
2026-04-09 12:58:05,659 | INFO | orchestrator |   Scrapers: ['rappi', 'ubereats', 'didi']
2026-04-09 12:58:05,659 | INFO | orchestrator |   Headless: True
2026-04-09 12:58:05,660 | INFO | orchestrator |   Output:   results
2026-04-09 12:58:05,660 | INFO | orchestrator |   Direcciones cargadas: 2
2026-04-09 12:58:24,506 | INFO | orchestrator | ============================================================
2026-04-09 12:58:24,507 | INFO | orchestrator | [RAPPI] Iniciando scraping de 2 direcciones
2026-04-09 12:58:24,507 | INFO | orchestrator | ============================================================
2026-04-09 12:58:24,507 | INFO | rappi | [rappi] Iniciando navegador...
2026-04-09 12:58:25,081 | INFO | rappi | [rappi] Navegador listo.
2026-04-09 12:58:25,081 | INFO | orchestrator | [RAPPI] Dirección 1/2: CDMX_POLANCO_01 — Polanco
2026-04-09 12:58:25,081 | INFO | rappi | [rappi] order era una lista, se toma el primer elemento: 'Home Office con Big Mac'
2026-04-09 12:58:25,083 | INFO | rappi | [rappi] retail era una lista, se toma el primer elemento: 'Coca-Cola'
2026-04-09 12:58:25,083 | INFO | rappi | [rappi] Iniciando scrape para CDMX_POLANCO_01 - Polanco
2026-04-09 12:58:25,083 | INFO | rappi | [rappi] order='Home Office con Big Mac'
2026-04-09 12:58:25,083 | INFO | rappi | [rappi] retail='Coca-Cola'
2026-04-09 12:58:25,083 | INFO | rappi | [rappi] Intento 1/3
2026-04-09 12:58:25,083 | INFO | rappi | [rappi] Navegando a: https://www.rappi.com.mx/
2026-04-09 12:58:28,363 | INFO | rappi | [rappi] Esperando 3.50s...
2026-04-09 12:58:31,922 | INFO | rappi | [rappi] Esperando 1.59s...
2026-04-09 12:58:33,834 | INFO | rappi | [rappi] Screenshot guardado: results\screenshots\rappi\rappi_CDMX_POLANCO_01_home_20260409_175833.png
2026-04-09 12:58:33,834 | INFO | rappi | [rappi] Intentando setear dirección: Av. Presidente Masaryk 111, Polanco, Miguel Hidalgo, 11560 Ciudad de Mexico, CDMX, Mexico
2026-04-09 12:58:33,965 | INFO | rappi | [rappi] Esperando 1.39s...
2026-04-09 12:58:35,367 | INFO | rappi | [rappi] Modal de dirección abierto con: [data-qa='address-container'] [role='button']
2026-04-09 12:58:35,367 | INFO | rappi | [rappi] Esperando 0.54s...
2026-04-09 12:58:41,951 | INFO | rappi | [rappi] Contenedor de modal detectado: [role='dialog'][aria-modal='true']
2026-04-09 12:58:41,960 | INFO | rappi | [rappi] Input de dirección encontrado: input[placeholder*='dirección']
2026-04-09 12:58:48,264 | INFO | rappi | [rappi] Dirección escrita: 'Av. Presidente Masaryk 111, Polanco, Miguel Hidalgo, 11560 Ciudad de Mexico, CDMX, Mexico'
2026-04-09 12:58:48,265 | INFO | rappi | [rappi] Esperando 1.12s...
2026-04-09 12:58:49,440 | INFO | rappi | [rappi] Primera sugerencia seleccionada ([data-qa='suggestion-item'] button)
2026-04-09 12:58:49,440 | INFO | rappi | [rappi] Esperando 0.72s...
2026-04-09 12:58:50,479 | INFO | rappi | [rappi] Confirmación de dirección clicada: [data-qa='confirm-address']
2026-04-09 12:58:58,510 | INFO | rappi | [rappi] Modal de dirección cerrado.
2026-04-09 12:58:58,510 | INFO | rappi | [rappi] Esperando 2.90s...
2026-04-09 12:59:01,415 | INFO | rappi | [rappi] Seteo de dirección finalizado.
2026-04-09 12:59:01,681 | INFO | rappi | [rappi] Screenshot guardado: results\screenshots\rappi\rappi_CDMX_POLANCO_01_after_address_20260409_175901.png
2026-04-09 12:59:01,681 | INFO | rappi | [rappi] Intento 1/3
2026-04-09 12:59:01,681 | INFO | rappi | [rappi] Buscando order: 'Home Office con Big Mac'
2026-04-09 12:59:03,215 | INFO | rappi | [rappi] Esperando 1.80s...
2026-04-09 12:59:05,017 | INFO | rappi | [rappi] Búsqueda escrita: 'Home Office con Big Mac' con selector: [data-qa='search-wrapper-desktop'] [data-qa='input']
2026-04-09 12:59:05,017 | INFO | rappi | [rappi] Esperando 1.89s...
2026-04-09 12:59:06,935 | INFO | rappi | [rappi] get_by_text exact encontró 'Home Office con Big Mac'
2026-04-09 12:59:09,892 | INFO | rappi | [rappi] Resultado seleccionado correctamente para 'Home Office con Big Mac'
2026-04-09 12:59:09,893 | INFO | rappi | [rappi] Esperando 2.87s...
2026-04-09 12:59:12,979 | INFO | rappi | [rappi] Screenshot guardado: results\screenshots\rappi\rappi_CDMX_POLANCO_01_home_office_con_big_mac_search_20260409_175912.png
2026-04-09 12:59:12,988 | INFO | rappi | [rappi] Candidato tiempo envío: '20 min' → 20 min
2026-04-09 12:59:12,988 | INFO | rappi | [rappi] Candidato tiempo envío: '15 min' → 15 min
2026-04-09 12:59:12,988 | INFO | rappi | [rappi] Tiempo de entrega mínimo extraído: 15 min
2026-04-09 12:59:12,993 | WARNING | rappi | [rappi] No se encontró costo de envío en etiquetas <p>
2026-04-09 12:59:12,993 | INFO | rappi | [rappi] tiempo_envio: 15 | costo_envio: None
2026-04-09 12:59:12,993 | INFO | rappi | [rappi] Esperando 3.27s...
2026-04-09 12:59:16,279 | INFO | rappi | [rappi] Buscando producto 'Home Office con Big Mac' en H4...
2026-04-09 12:59:16,345 | INFO | rappi | [rappi] H4 encontrado con texto: 'Home Office con Big Mac'
2026-04-09 12:59:16,460 | INFO | rappi | [rappi] Esperando 1.65s...
2026-04-09 12:59:18,124 | INFO | rappi | [rappi] Producto seleccionado, modal abierto
2026-04-09 12:59:18,124 | INFO | rappi | [rappi] Iniciando personalización de producto con retail='Coca-Cola'
2026-04-09 12:59:18,150 | INFO | rappi | [rappi] Modal detectado: div[class*='modal']
2026-04-09 12:59:18,165 | INFO | rappi | [rappi] Detectados 52 grupos con 'div:has(input[type='radio'])'
2026-04-09 12:59:18,182 | INFO | rappi | [rappi] Procesando grupo #1 - título=''
2026-04-09 12:59:18,301 | INFO | rappi | [rappi] ✅ Seleccionada primera opción del grupo '': ''
2026-04-09 12:59:18,301 | INFO | rappi | [rappi] Esperando 0.49s...
2026-04-09 12:59:18,811 | INFO | rappi | [rappi] Procesando grupo #2 - título=''
2026-04-09 12:59:18,889 | INFO | rappi | [rappi] ✅ Seleccionada primera opción del grupo '': ''
2026-04-09 12:59:18,889 | INFO | rappi | [rappi] Esperando 0.44s...
2026-04-09 12:59:19,345 | INFO | rappi | [rappi] Procesando grupo #3 - título=''
2026-04-09 12:59:19,424 | INFO | rappi | [rappi] ✅ Seleccionada primera opción del grupo '': ''
2026-04-09 12:59:19,424 | INFO | rappi | [rappi] Esperando 0.41s...
2026-04-09 12:59:19,845 | INFO | rappi | [rappi] Procesando grupo #4 - título=''
2026-04-09 12:59:19,923 | INFO | rappi | [rappi] ✅ Seleccionada primera opción del grupo '': ''
2026-04-09 12:59:19,924 | INFO | rappi | [rappi] Esperando 0.52s...
2026-04-09 12:59:20,455 | INFO | rappi | [rappi] Procesando grupo #5 - título=''
2026-04-09 12:59:20,539 | INFO | rappi | [rappi] ✅ Seleccionada primera opción del grupo '': ''
2026-04-09 12:59:20,540 | INFO | rappi | [rappi] Esperando 0.39s...
2026-04-09 12:59:20,935 | INFO | rappi | [rappi] Procesando grupo #6 - título=''
2026-04-09 12:59:21,023 | INFO | rappi | [rappi] ✅ Seleccionada primera opción del grupo '': ''
2026-04-09 12:59:21,023 | INFO | rappi | [rappi] Esperando 0.49s...
2026-04-09 12:59:21,525 | INFO | rappi | [rappi] Procesando grupo #7 - título=''
2026-04-09 12:59:21,606 | INFO | rappi | [rappi] ✅ Seleccionada primera opción del grupo '': ''
2026-04-09 12:59:21,606 | INFO | rappi | [rappi] Esperando 0.36s...
